Date,Open,High,Low,Close,Change,%Change,Total Volume,Total Value
04/09/2017,186.00,187.00,185.00,186.00, 0.00, 0.00,"2,714,869","504,822.09"
01/09/2017,185.00,187.50,184.50,186.00, +1.50, +0.81,"4,071,436","758,589.70"
31/08/2017,186.00,186.50,184.00,184.50, -1.50, -0.81,"3,562,722","658,857.20"
30/08/2017,187.00,187.50,186.00,186.00, 0.00, 0.00,"3,810,079","711,151.46"
29/08/2017,183.50,187.50,182.50,186.00, +3.00, +1.64,"8,299,989","1,539,798.78"
28/08/2017,182.00,183.50,181.00,183.00, +1.50, +0.83,"2,467,131","448,949.22"
25/08/2017,181.50,182.50,181.00,181.50, 0.00, 0.00,"2,140,454","388,952.54"
24/08/2017,184.00,184.00,181.50,181.50, -2.00, -1.09,"3,194,165","583,269.70"
23/08/2017,184.00,184.50,182.50,183.50, 0.00, 0.00,"3,301,884","605,759.80"
22/08/2017,181.50,184.00,181.50,183.50, +2.50, +1.38,"4,880,198","891,164.02"
21/08/2017,180.00,181.50,180.00,181.00, +1.50, +0.84,"1,322,502","239,187.74"
18/08/2017,179.00,180.50,178.50,179.50, +0.50, +0.28,"1,217,800","218,702.69"
17/08/2017,178.50,179.50,178.00,179.00, +0.50, +0.28,"1,077,798","192,693.63"
16/08/2017,180.00,180.50,178.00,178.50, -2.00, -1.11,"3,213,635","575,105.46"
15/08/2017,181.50,182.00,180.00,180.50, -0.50, -0.28,"2,444,552","442,330.49"
11/08/2017,180.50,182.00,179.50,181.00, -0.50, -0.28,"3,103,997","561,262.21"
10/08/2017,180.50,181.50,180.00,181.50, +0.50, +0.28,"927,722","167,896.03"
09/08/2017,181.50,181.50,180.00,181.00, 0.00, 0.00,"1,514,423","273,632.13"
08/08/2017,180.50,182.50,180.00,181.00, +0.50, +0.28,"3,221,225","584,934.34"
07/08/2017,179.00,181.00,178.50,180.50, +1.50, +0.84,"2,152,580","387,572.95"
04/08/2017,181.50,182.00,179.00,179.00, -3.00, -1.65,"2,222,602","399,716.84"
03/08/2017,180.00,182.00,179.50,182.00, +2.00, +1.11,"3,564,089","644,210.97"
02/08/2017,180.00,180.50,179.00,180.00, +0.50, +0.28,"3,231,161","581,219.55"
01/08/2017,179.00,180.50,178.00,179.50, 0.00, 0.00,"2,994,628","536,523.98"
