Date,Open,High,Low,Close,Change,%Change,Total Volume,Total Value
24/08/2017,52.25,53.00,52.00,52.75, +0.75, +1.44,"23,935,437","1,260,775.11"
23/08/2017,51.75,52.25,51.50,52.00, +0.50, +0.97,"19,022,581","988,258.06"
22/08/2017,51.25,51.75,51.25,51.50, +0.25, +0.49,"14,366,919","740,847.99"
21/08/2017,52.75,52.75,50.75,51.25, -1.50, -2.84,"56,154,139","2,887,820.15"
18/08/2017,52.50,52.75,52.25,52.75, 0.00, 0.00,"15,936,159","837,273.04"
17/08/2017,53.00,53.00,52.25,52.75, 0.00, 0.00,"23,157,007","1,217,966.29"
16/08/2017,52.00,53.00,52.00,52.75, +1.00, +1.93,"19,873,824","1,044,626.39"
15/08/2017,52.75,53.00,51.75,51.75, -0.75, -1.43,"27,053,324","1,413,525.67"
11/08/2017,53.00,53.25,52.00,52.50, -1.00, -1.87,"56,278,765","2,955,943.23"
10/08/2017,53.25,53.50,52.75,53.50, +0.50, +0.94,"20,998,179","1,118,062.90"
09/08/2017,54.00,54.00,52.75,53.00, -1.25, -2.30,"66,643,242","3,539,917.38"
08/08/2017,54.25,54.50,54.00,54.25, +0.25, +0.46,"18,698,203","1,013,849.83"
07/08/2017,53.50,54.25,53.25,54.00, +0.75, +1.41,"32,577,015","1,753,545.47"
04/08/2017,52.75,53.50,52.50,53.25, +0.75, +1.43,"21,811,659","1,158,896.27"
03/08/2017,52.25,52.75,52.25,52.50, +0.25, +0.48,"17,821,394","935,410.39"
02/08/2017,52.25,53.00,52.00,52.25, +0.25, +0.48,"42,333,910","2,222,913.06"
01/08/2017,51.50,52.00,51.25,52.00, +0.50, +0.97,"16,174,569","837,932.11"
